# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue May 29 07:22:27 2018
#
# CONSTRAINT:  where (epic_name like '%EPIC%'
# CONSTRAINT:  and k2c_refdisp not like 'false positive'
# CONSTRAINT:  and k2c_recentflag = 1
# CONSTRAINT:  and pl_orbper < 16
# CONSTRAINT:  and pl_rade > 4
# CONSTRAINT:  )
# CONSTRAINT:  order by epic_name asc
#
# COLUMN epic_name:      EPIC Name
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_k2:          Ks-band (2MASS) [mag]
#
loc_rowid,epic_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_tranmid,pl_ratdor,pl_ratror,pl_rade,st_rad,st_kep,st_k2
796,EPIC 211375488,EPIC 211375488.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,5,1,08h43m20.83s,130.836777,+11d14m53.2s,11.248120,4.16673800,2457143.812650,,43.48000,94.800,2.00,17.492,14.625
804,EPIC 211391664,EPIC 211391664.01,K2-98 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,5,1,08h25m57.19s,126.488289,+11d30m40.1s,11.511145,10.13679600,2457145.980000,14.557693,0.03044,5.008,1.51,12.102,10.869
806,EPIC 211399359,EPIC 211399359.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,5,1,08h32m16.11s,128.067139,+11d37m50.6s,11.630727,3.11487800,2457144.533080,,14.93000,12.500,0.77,14.424,12.391
811,EPIC 211413463,EPIC 211413463.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,5,1,08h35m39.57s,128.914886,+11d50m37.0s,11.843622,3.25182000,2457143.937580,,48.64000,33.200,0.63,17.303,14.641
816,EPIC 211418290,EPIC 211418290.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,5,1,08h37m12.55s,129.302307,+11d54m56.6s,11.915721,5.03207000,2457141.807040,4.920661,0.09133,36.710,3.69,11.504,9.755
819,EPIC 211418729,EPIC 211418729.01,K2-114 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CONFIRMED,,5,1,08h31m31.91s,127.882965,+11d55m20.2s,11.922265,11.39143200,2457151.713210,,11.31000,11.100,0.90,14.286,12.304
820,EPIC 211424769,EPIC 211424769.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,5,1,08h35m24.64s,128.852676,+12d00m41.9s,12.011650,5.17624300,2457144.498370,12.490944,0.15930,19.443,1.12,9.438,7.949
862,EPIC 211578235,EPIC 211578235.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,5,1,09h00m14.74s,135.061432,+14d14m15.2s,14.237560,11.00753700,2457147.979220,,40.56000,41.500,0.94,14.330,12.500
881,EPIC 211713099,EPIC 211713099.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,5,1,08h20m53.73s,125.223885,+16d05m27.4s,16.090946,8.56240500,2457149.712720,,6.65000,6.000,0.83,13.640,12.154
887,EPIC 211733267,EPIC 211733267.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,5,1,08h40m02.26s,130.009415,+16d22m20.7s,16.372406,8.65816800,2457144.931750,22.993247,0.19210,17.160,0.82,12.150,10.287
891,EPIC 211736671,EPIC 211736671.01,K2-108 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,5,1,08h13m31.65s,123.381874,+16d25m10.6s,16.419609,4.73379000,2457145.097360,8.598202,0.03007,7.564,2.31,12.160,10.561
917,EPIC 211800191,EPIC 211800191.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,5,1,08h51m32.35s,132.884781,+17d19m11.4s,17.319834,1.10617500,2457140.749300,2.678202,0.08935,8.833,0.91,12.443,10.995
928,EPIC 211817229,EPIC 211817229.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CANDIDATE,,5,1,08h27m53.51s,126.972969,+17d33m36.5s,17.560143,2.17693000,2457175.525000,16.290000,0.30700,7.920,,15.682,11.699
933,EPIC 211818569,EPIC 211818569.01,K2-121 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,5,1,08h27m44.81s,126.936722,+17d34m45.8s,17.579397,5.18575900,2457143.560480,20.133408,0.10208,7.644,0.69,12.935,10.616
959,EPIC 211916756,EPIC 211916756.01,K2-95 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CONFIRMED,,5,1,08h37m27.06s,129.362747,+18d58m36.1s,18.976685,10.13427900,2457150.877830,,31.61000,14.800,0.43,15.498,12.474
961,EPIC 211919004,EPIC 211919004.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,5,1,08h39m06.49s,129.777054,+19d00m36.1s,19.010023,11.71660300,2457149.100260,,4.54000,4.200,0.86,13.131,11.300
967,EPIC 211924657,EPIC 211924657.01,K2-146 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CONFIRMED,,5,1,08h40m06.43s,130.026779,+19d05m34.4s,19.092878,2.64484500,2457144.641430,,19.51000,10.700,0.50,15.031,11.370
972,EPIC 211929937,EPIC 211929937.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,5,1,08h36m42.83s,129.178452,+19d10m25.7s,19.173813,3.47664200,2457142.412250,,12.52000,11.500,0.84,14.156,12.351
992,EPIC 211978865,EPIC 211978865.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,5,1,08h15m35.48s,123.897820,+19d54m53.5s,19.914862,0.90776500,2457142.382290,,58.31000,77.000,1.21,14.439,13.157
1003,EPIC 211993818,EPIC 211993818.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,5,1,08h24m49.18s,126.204918,+20d09m10.8s,20.152994,8.98664800,2457149.028450,10.169716,0.30778,143.037,4.26,7.218,5.495
1004,EPIC 211995325,EPIC 211995325.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152...47A target=ref>Adams et al. 2016</a>,CANDIDATE,,5,1,08h44m49.82s,131.207596,+20d10m39.7s,20.177694,0.27925800,2457154.452190,2.200000,0.12430,8.410,0.62,18.219,14.987
1037,EPIC 212110888,EPIC 212110888.01,K2-34 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,5,1,08h30m18.91s,127.578773,+22d14m09.3s,22.235909,2.99564600,2457141.351090,6.879238,0.08800,13.966,1.45,11.441,10.193
1048,EPIC 212138198,EPIC 212138198.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,5,1,08h24m05.65s,126.023560,+22d46m59.8s,22.783291,3.20914900,2457142.372870,14.582916,0.05761,5.275,0.84,12.902,10.880
1051,EPIC 212150006,EPIC 212150006.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,5,1,08h32m40.69s,128.169540,+23d01m55.2s,23.032000,0.89831200,2457142.677160,,37.28000,32.000,0.79,14.700,12.948
1079,EPIC 212300977,EPIC 212300977.01,WASP-55 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CONFIRMED,,6,1,13h35m01.94s,203.758102,-17d30m12.8s,-17.503550,4.46563500,2457224.994820,,12.23000,14.800,1.11,11.738,10.396
1113,EPIC 212428509,EPIC 212428509.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,6,1,13h34m30.84s,203.628494,-14d16m17.8s,-14.271621,2.66792900,2457222.503310,,49.70000,50.700,0.94,12.483,10.976
1151,EPIC 212554013,EPIC 212554013.01,K2-127 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CONFIRMED,,6,1,13h48m18.81s,207.078384,-11d35m20.3s,-11.588979,3.58815800,2457223.925930,,11.17000,9.100,0.75,14.733,12.793
1159,EPIC 212570977,EPIC 212570977.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,6,1,13h43m36.34s,205.901398,-11d13m24.9s,-11.223570,8.85302500,2457223.894410,,15.14000,14.400,0.87,13.928,12.319
1164,EPIC 212572439,EPIC 212572439.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,6,1,13h37m45.62s,204.440079,-11d11m33.3s,-11.192574,2.58146700,2457223.028560,,6.68000,5.700,0.78,12.835,11.114
1175,EPIC 212580872,EPIC 212580872.01,K2-193 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,6,1,13h40m56.89s,205.237061,-11d00m33.5s,-11.009296,14.78720700,2457224.259060,25.230497,0.03846,4.015,0.96,13.047,11.479
1177,EPIC 212585579,EPIC 212585579.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,6,1,13h39m15.78s,204.815765,-10d54m25.1s,-10.906977,3.02179500,2457221.562990,,38.76000,45.900,1.09,12.629,11.288
1181,EPIC 212586030,EPIC 212586030.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,6,1,13h43m25.96s,205.858154,-10d53m48.9s,-10.896922,7.78522700,2457220.883300,8.825517,0.03894,7.721,1.82,11.689,9.468
1188,EPIC 212628098,EPIC 212628098.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,6,1,13h21m09.73s,200.290558,-09d56m57.0s,-9.949168,4.35242800,2457223.348300,,22.72000,16.600,0.67,13.259,10.743
1193,EPIC 212639319,EPIC 212639319.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,6,1,13h18m18.75s,199.578140,-09d41m30.7s,-9.691857,13.84372500,2457222.436520,28.622521,0.03775,6.761,1.64,12.471,10.647
1196,EPIC 212645891,EPIC 212645891.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,6,1,14h01m05.53s,210.273026,-09d32m24.4s,-9.540112,0.32815200,2457218.041500,1.441255,0.13697,14.792,0.99,12.641,11.053
1215,EPIC 212697709,EPIC 212697709.01,WASP-157 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,6,1,13h26m37.25s,201.655197,-08d19m03.2s,-8.317560,3.95162600,2457218.287020,10.270030,0.09493,10.769,1.04,12.193,10.764
1233,EPIC 212756297,EPIC 212756297.01,Qatar-2 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CONFIRMED,,6,1,13h50m37.41s,207.655869,-06d48m14.4s,-6.804004,1.33711600,2457222.121380,,15.99000,11.500,0.66,13.009,10.619
1237,EPIC 212757601,EPIC 212757601.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,6,1,13h52m37.12s,208.154648,-06d46m09.8s,-6.769382,1.01796800,2457221.068400,,43.93000,36.100,0.75,16.825,14.774
1245,EPIC 212773272,EPIC 212773272.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,6,1,13h49m31.69s,207.382034,-06d19m26.8s,-6.324099,4.68174300,2457222.664960,,19.87000,5.400,0.25,14.965,11.701
1268,EPIC 213840781,EPIC 213840781.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,7,1,19h22m14.67s,290.561127,-28d07m04.5s,-28.117920,12.36453100,2457323.027400,,43.63000,36.300,0.76,13.727,11.787
1271,EPIC 213951550,EPIC 213951550.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,7,1,19h07m24.38s,286.851562,-27d47m31.8s,-27.792179,1.11702700,2457311.230080,,57.27000,16.900,0.27,14.971,11.735
1277,EPIC 214741009,EPIC 214741009.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,7,1,18h44m27.78s,281.115753,-25d45m13.4s,-25.753733,7.26962200,2457316.123090,,41.56000,32.900,0.73,14.012,11.788
1279,EPIC 215101303,EPIC 215101303.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,7,1,19h17m38.75s,289.411469,-24d56m09.1s,-24.935858,15.20710100,2457320.839000,,13.85000,12.700,0.84,14.891,13.306
1282,EPIC 215358983,EPIC 215358983.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,7,1,19h37m55.25s,294.480225,-24d23m05.8s,-24.384943,6.42171900,2457316.275430,,12.79000,15.300,1.10,13.786,12.328
1286,EPIC 215938010,EPIC 215938010.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,7,1,19h25m36.39s,291.401642,-23d15m39.0s,-23.260845,1.15147100,2457311.790510,,6.91000,12.400,1.64,12.093,10.707
1287,EPIC 215969174,EPIC 215969174.01,HATS-36 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CONFIRMED,,7,1,19h25m54.89s,291.478699,-23d12m10.1s,-23.202793,4.17518700,2457314.463070,,10.69000,13.400,1.15,14.300,12.809
1290,EPIC 216050437,EPIC 216050437.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,7,1,19h34m27.85s,293.616058,-23d03m10.6s,-23.052948,14.94896600,2457308.240640,15.845417,0.22221,36.950,1.52,12.326,10.891
1296,EPIC 216414930,EPIC 216414930.01,HATS-11 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CONFIRMED,,7,1,19h17m36.18s,289.400757,-22d23m23.7s,-22.389927,3.61919200,2457313.273660,,10.52000,10.200,0.89,13.737,12.243
1298,EPIC 216468514,EPIC 216468514.01,K2-107 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,7,1,18h59m56.49s,284.985382,-22d17m36.2s,-22.293402,3.31392100,2457304.524460,5.928497,0.08272,12.043,1.33,12.749,11.210
1308,EPIC 217393088,EPIC 217393088.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,7,1,19h17m45.39s,289.439117,-20d39m15.8s,-20.654375,1.31947400,2457311.668910,,9.87000,16.600,1.54,15.293,13.971
1309,EPIC 217671466,EPIC 217671466.01,HATS-9 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CONFIRMED,,7,1,19h23m14.43s,290.810120,-20d09m58.8s,-20.166346,1.91529800,2457311.751330,,8.13000,17.200,1.94,13.095,11.479
1314,EPIC 218131080,EPIC 218131080.01,HATS-12 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,7,1,19h16m48.57s,289.202393,-19d21m21.3s,-19.355907,3.14284600,2457301.808430,4.775518,0.06264,8.845,1.29,12.700,11.391
1316,EPIC 218170789,EPIC 218170789.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,7,1,18h51m06.68s,282.777832,-19d17m04.1s,-19.284481,3.04161700,2457303.402250,2.009597,0.09433,8.989,0.87,12.890,10.627
1318,EPIC 218621322,EPIC 218621322.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,7,1,19h01m52.51s,285.468811,-18d28m04.5s,-18.467922,11.58750200,2457316.045430,,20.20000,21.900,1.00,12.396,10.586
1320,EPIC 218711655,EPIC 218711655.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,7,1,19h01m54.52s,285.477173,-18d17m54.1s,-18.298365,1.15756300,2457311.852850,,7.77000,12.300,1.46,11.334,9.853
1325,EPIC 219388192,EPIC 219388192.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,7,1,19h17m34.04s,289.391815,-16d52m17.8s,-16.871611,5.29260500,2457303.988800,13.345959,0.09434,9.978,0.97,12.336,10.666
1326,EPIC 219420915,EPIC 219420915.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,7,1,19h10m02.61s,287.510864,-16d47m36.6s,-16.793495,0.51501300,2457311.330640,,18.38000,26.100,1.30,12.847,11.135
1332,EPIC 220209578,EPIC 220209578.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,8,1,01h17m50.88s,19.462019,+00d20m31.2s,0.341995,8.90451900,2457394.766650,,38.05000,36.900,0.89,14.376,12.850
1341,EPIC 220258394,EPIC 220258394.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,8,1,00h42m58.22s,10.742570,+01d44m33.7s,1.742699,15.96012800,2457401.748370,,20.49000,19.500,0.87,13.721,12.017
1345,EPIC 220303276,EPIC 220303276.01,WASP-118 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CONFIRMED,,8,1,01h18m12.13s,19.550543,+02d42m10.2s,2.702824,4.04600500,2457394.723010,,8.03000,12.000,1.38,10.934,9.788
1349,EPIC 220336320,EPIC 220336320.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,8,1,01h06m45.17s,16.688229,+03d24m26.5s,3.407350,1.72767000,2457393.881280,,52.53000,21.300,0.37,15.929,12.824
1358,EPIC 220397060,EPIC 220397060.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,8,1,00h34m47.32s,8.697182,+04d39m27.9s,4.657757,12.09219900,2457403.232870,10.220757,0.05407,5.844,0.99,12.835,11.027
1360,EPIC 220436208,EPIC 220436208.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,8,1,00h48m56.67s,12.236118,+05d24m59.4s,5.416503,5.23571400,2457396.506050,,3.37000,4.300,1.17,13.923,12.295
1361,EPIC 220448185,EPIC 220448185.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,8,1,01h33m13.06s,23.304403,+05d38m43.1s,5.645308,0.72863900,2457393.415890,,22.87000,17.200,0.69,15.976,13.543
1366,EPIC 220501947,EPIC 220501947.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,8,1,01h18m26.38s,19.609900,+06d49m00.7s,6.816871,4.02488100,2457395.413930,,12.94000,10.300,0.73,13.539,11.135
1368,EPIC 220504338,EPIC 220504338.01,K2-113 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CONFIRMED,,8,1,01h17m47.83s,19.449286,+06d52m08.0s,6.868895,5.81768100,2457398.704350,,8.65000,12.500,1.33,13.514,11.949
1369,EPIC 220522262,EPIC 220522262.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,8,1,01h04m54.56s,16.227350,+07d16m09.2s,7.269234,8.68770800,2457393.881990,,9.89000,8.100,0.75,14.763,12.523
1370,EPIC 220542353,EPIC 220542353.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,8,1,00h58m58.68s,14.744520,+07d43m09.6s,7.719333,15.24659300,2457401.782260,,37.44000,78.000,1.91,8.837,7.560
1382,EPIC 220643470,EPIC 220643470.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,8,1,00h49m35.41s,12.397556,+10d01m12.3s,10.020078,2.65323000,2457393.811640,2.834727,0.04158,62.277,13.73,10.839,8.229
1393,EPIC 220725183,EPIC 220725183.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,8,1,01h00m09.80s,15.040851,+12d13m00.3s,12.216743,2.31116200,2457394.386350,,30.02000,51.600,1.58,11.509,10.062
1402,EPIC 228735255,EPIC 228735255.01,K2-140 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,1,12h32m32.96s,188.137344,-09d36m27.5s,-9.607640,6.56921300,2457588.285030,15.303844,0.11417,13.046,1.05,12.483,10.995
1405,EPIC 228754001,EPIC 228754001.01,K2-132 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,1,12h08m39.94s,182.166397,-08d44m49.8s,-8.747175,9.17386600,2457590.169610,8.427091,0.02910,6.865,2.16,11.651,9.540
1415,EPIC 229039390,EPIC 229039390.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,10,1,12h32m33.65s,188.140228,-00d40m22.6s,-0.672956,0.25164700,2457582.621230,1.464900,0.25988,27.977,0.99,12.735,11.336
